Fecha,GLPs,Gasolinas,Querosenos,Gasoleos,Fueloleos
1969-01-01,133615.0962,166875.2129,123257.809,401185.2939,912583.4202
1969-02-01,126748.4741,155466.8105,114682.5767,385360.0381,851877.8115
1969-03-01,107795.8091,184983.6699,109970.0796,418955.5808,873884.2933
1969-04-01,96683.15967,202319.8164,108797.9255,438975.5445,755490.117
1969-05-01,79506.23804,206259.1523,103554.0784,467451.9469,729963.6009
1969-06-01,72091.23975,208411.8379,104791.9049,463565.6154,655313.7799
1969-07-01,72515.22046,265736.7207,109991.9704,503946.9265,703708.9775
1969-08-01,69601.26001,282287.0176,108586.9776,493495.4185,757296.2275
1969-09-01,80101.26245,232225.9316,109205.8909,474779.1034,813477.7776
1969-10-01,90847.98218,217133.9355,109146.1886,493100.2457,824576.8578
1969-11-01,115474.1108,184276.0498,112431.8021,451287.5171,868227.0498
1969-12-01,168440.6055,210767.7012,135401.2455,439303.2903,1081320.164
1970-01-01,151270.9399,191248.418,131475.9297,423391.4234,1035835.797
1970-02-01,127156.9058,186340.6016,124060.8125,433168.1822,876489.4078
1970-03-01,137592.6372,224118.0117,137309.6758,476572.2877,927791.6531
1970-04-01,109805.8303,223821.7656,139170.4336,502526.4779,1000263.359
1970-05-01,89821.7207,231713.7871,149087.3711,476165.2816,913753.2777
1970-06-01,77227.73022,244819.5547,157043.2734,509821.1531,799806.8886
1970-07-01,82506.23877,307764.0898,164949.2539,546020.193,911369.9917
1970-08-01,83214.25537,326758.3379,166700.2148,521144.783,870752.5394
1970-09-01,85719.78467,265159.7734,158988.2305,507425.9885,1020278.759
1970-10-01,124416.062,248866.125,151032.4141,518730.2431,1102041.787
1970-11-01,119712.8818,215043.625,137283.4336,487177.7767,1131435.072
1970-12-01,188192.5103,236482.7344,143737.3281,462675.7251,1305166.03
1971-01-01,195014.5576,205688.4961,167992.0924,430143.192,1334080.558
1971-02-01,152786.4897,200367.3398,157670.7018,439240.4743,1184081.784
1971-03-01,178015.936,249035.9023,166636.2214,539470.8981,1292143.849
1971-04-01,119954.416,262518.6992,160622.4831,493348.6235,1159126.776
1971-05-01,101710.8042,249195.9414,153707.8893,491106.3267,966782.7926
1971-06-01,90025.93628,272193.6719,160343.5964,509546.3251,775987.2408
1971-07-01,91236.71753,334441.9609,162133.8737,595907.4325,853052.9046
1971-08-01,84680.04712,347689.9824,161070.1315,566125.6954,809914.2801
1971-09-01,94004.51367,289987.9316,161105.5339,550234.3355,931313.2318
1971-10-01,102733.9558,271296.1895,183029.3112,550041.4797,948763.5108
1971-11-01,164294.0942,244961.709,169241.9674,531612.5733,1057180.373
1971-12-01,192586.7754,262962.5391,183268.1315,504879.8023,1384069.25
1972-01-01,193090.5767,236177.0091,186174.6471,478602.0483,1400067.117
1972-02-01,173891.1943,237190.4681,174843.9401,492328.3461,1269615.28
1972-03-01,156792.0195,277409.9837,173203.0299,551815.1863,1191622.439
1972-04-01,123072.5923,284392.1654,173177.5924,559983.8049,1058360.284
1972-05-01,126897.7485,303667.7591,177776.2253,575470.1962,1064012.265
1972-06-01,92812.39185,295782.679,175662.5768,571799.6664,1005202.055
1972-07-01,95207.00195,374689.5618,185420.2135,610767.2726,999498.5849
1972-08-01,101325.1787,398585.1107,178668.8112,609973.9689,1007137.591
1972-09-01,112348.6782,325982.3333,181704.6901,588182.3952,1090969.79
1972-10-01,130525.9458,304453.4036,190053.2878,581178.9978,1106997.523
1972-11-01,151382.896,273259.5482,177776.8815,570634.8929,1262714.082
1972-12-01,198365.9751,303364.431,187981.5065,541729.5233,1380901.649
1973-01-01,219021.8193,279997.9622,204486.9648,555225.2129,1507571.881
1973-02-01,191657.957,267392.7142,189906.9023,542817.0681,1432939.767
1973-03-01,188088.8477,324231.1126,189664.4609,637672.9392,1507050.167
1973-04-01,144460.2959,339574.5775,193068.0625,585370.6693,1345490.657
1973-05-01,118961.3267,327426.5951,187988.5703,626382.6203,1353166.45
1973-06-01,101286.8235,365319.8001,194841.3242,631143.8286,1245216.184
1973-07-01,106323.7979,415490.1654,225599.3867,641732.0321,1318158.231
1973-08-01,106145.4978,463183.7337,175485.3555,687631.7837,1391725.066
1973-09-01,106042.8716,368707.8704,208990.8086,629304.1658,1389560.431
1973-10-01,148814.1323,365269.2376,206781.5313,714719.4131,1785204.542
1973-11-01,168207.3643,317173.6712,197115.4766,624241.9046,1741201.096
1973-12-01,223528.0405,357061.6224,211706.8711,691281.5419,1868734.4
1974-01-01,209830.0415,300819.0013,187562.2813,583122.06,1803799.365
1974-02-01,194433.0093,318927.6556,186491.8398,592754.4897,1655664.492
1974-03-01,191613.3818,304678.5111,187702.7891,581000.4251,1643786.338
1974-04-01,153855.2529,346731.4876,185141.0703,607150.9782,1601686.206
1974-05-01,136674.1851,338201.8118,186682.9609,659165.8987,1763406.825
1974-06-01,106132.0217,349288.9915,190253.7383,617956.791,1654203.579
1974-07-01,117738.106,434830.9935,205251.3008,695038.1675,1673898.151
1974-08-01,109658.6292,466283.8001,200757.6406,659997.1694,1611672.401
1974-09-01,118866.9937,365098.2786,206109.7422,631786.4694,1699653.007
1974-10-01,175537.3589,365035.2865,198811.0078,668564.6208,1937664.782
1974-11-01,185316.9053,326389.6849,185272.8828,640394.5499,1806567.658
1974-12-01,213122.3711,353288.64,196964.5078,651048.9434,1865248.229
1975-01-01,228796.1826,329363.7448,196137.2161,620803.4261,1981178.453
1975-02-01,181799.627,309589.7975,191172.4154,555942.0269,1690788.239
1975-03-01,197177.9995,375682.0885,199487.6927,578465.3147,1598492.396
1975-04-01,178126.855,362402.1589,198646.1771,667583.7901,1734930.163
1975-05-01,136127.8818,384780.4284,204396.7708,646315.9802,1620470.054
1975-06-01,128136.5186,383678.7331,210454.0091,668132.6462,1474329.82
1975-07-01,121374.5962,484431.444,215618.1458,712453.3896,1485647.193
1975-08-01,106541.4895,497693.7799,218136.8099,661746.7223,1439224.34
1975-09-01,133373.562,417996.9889,203592.5911,676874.683,1588298.994
1975-10-01,161377.0239,389488.9674,190364.9427,728030.4446,1849861.218
1975-11-01,181849.3853,340909.1628,187151.5365,716810.6296,1784981.925
1975-12-01,249974.4873,397278.0241,192748.0833,702793.8068,1917521.105
1976-01-01,254455.8291,363883.1263,188357.8568,719189.2581,2079201.446
1976-02-01,211513.5249,346836.4915,179808.7865,695746.7453,2052672.157
1976-03-01,208930.2485,385605.3685,188100.4036,756921.8565,2102210.536
1976-04-01,175344.5464,410190.9076,189940.4661,700237.4852,1906108.242
1976-05-01,140062.9209,398911.2728,196002.8333,702683.6077,1788996.411
1976-06-01,126892.5654,429326.4818,198079.6849,723985.2337,1792186.476
1976-07-01,130974.8057,504879.6829,210478.4661,806263.9767,1877761.46
1976-08-01,120729.8135,524729.5599,210979.3255,718892.2968,1644912.304
1976-09-01,145790.2891,423575.0208,201181.7005,781358.221,1823621.776
1976-10-01,165274.7441,404093.4349,200495.8568,829179.2223,1902543.639
1976-11-01,223480.3555,381265.806,192369.263,919948.8716,1867278.441
1976-12-01,251823.8311,412086.4349,184291.763,945408.805,1882426.978
1977-01-01,252583.6797,375188.5039,190204.8411,890148.7552,1765781.132
1977-02-01,209326.2402,355076.6641,183751.7083,839224.4944,1552136.427
1977-03-01,205989.3354,397951.2363,197623.8255,905320.0308,1471708.793
1977-04-01,179633.0752,434852.5,201930.6458,833730.7746,1313337.21
1977-05-01,173850.7656,416230.873,208576.5365,823784.309,1569176.046
1977-06-01,153292.3643,440007.9414,207699.7552,783498.9698,1518975.345
1977-07-01,141488.2842,550822.2695,224165.2552,845773.0642,1489346.503
1977-08-01,144306.875,540584.4648,219321.0208,771452.8046,1270819.43
1977-09-01,154313.4424,448803.0801,220504.724,821973.0204,1562576.839
1977-10-01,163213.9282,431175.7578,209658.6146,848675.0094,1575042.188
1977-11-01,208437.8501,389061.1719,194792.2865,974451.2666,1633720.133
1977-12-01,255654.1709,428030.332,192571.2396,1067032.698,1830794.583
1978-01-01,273676.9805,390509.8171,203236.1667,972523.2185,1686779.681
1978-02-01,231474.8286,365550.276,195484.3229,946600.4834,1573363.351
1978-03-01,218037.0229,466194.3073,209571.3854,988073.7592,1548691.19
1978-04-01,202632.7349,421217.8581,217259.8932,936411.632,1405285.687
1978-05-01,190999.6982,465498.4616,221660.6042,867429.4936,1440568.44
1978-06-01,166643.0928,464169.11,221861.3776,875146.0012,1406520.769
1978-07-01,144736.0386,588102.0339,230841.6667,850296.4028,1335817.774
1978-08-01,143210.1226,592308.9401,235703.8542,813891.7538,1354475.952
1978-09-01,153874.9492,497552.5924,226395.237,812849.049,1556281.044
1978-10-01,184487.603,471815.7428,230838.0885,898242.1543,1768160.585
1978-11-01,221992.7944,425811.3796,201915.9635,1016690.65,2027547.302
1978-12-01,259347.6758,465552.8366,203751.5651,1074378.507,1923924.189
1979-01-01,276086.1035,431605.278,199641.0208,1052592.839,1749287.754
1979-02-01,237316.2256,405046.4303,186681.1146,980835.6422,1265588.882
1979-03-01,253657.626,479437.4792,201491.013,1160288.512,1559411.016
1979-04-01,216224.998,504671.776,211253.8255,1002752.923,1352644.587
1979-05-01,197120.9854,490279.8932,220309.1302,1026475.056,1483083.23
1979-06-01,169069.8384,512979.2448,222975.8255,885416.9524,1337672.034
1979-07-01,168529.7554,560305.8737,229188.9505,894411.4921,1428282.355
1979-08-01,162048.7588,605073.0143,231448.7708,804426.4835,1384345.144
1979-09-01,168402.25,476677.5163,234599.5911,818708.3641,1538333.939
1979-10-01,209648.6313,487880.0221,221191.9583,1014484.659,1807293.495
1979-11-01,250345.5996,462139.3874,201677.6068,1159165.282,1810791.51
1979-12-01,277241.9434,485646.8776,205125.0052,1184411.931,1893544.112
1980-01-01,300699.793,413886.2617,188982.6016,1133120.882,1812112.09
1980-02-01,248951.3359,416575.9766,188542.6172,993067.68,1863869.235
1980-03-01,237095.4238,454416.6016,195887.0703,1006264.317,1831619.836
1980-04-01,207403.2959,488964.9219,202115.3984,953117.8397,1765102.761
1980-05-01,189459.2695,490372.6406,207460.3516,1044436.787,1814355.306
1980-06-01,161205.9805,457164.7676,207954.2031,813227.337,1493930.681
1980-07-01,162164.8608,577941.4688,219201.2422,906379.5089,1545152.305
1980-08-01,132976.5337,592491.9805,217780.4688,749445.0534,1147939.961
1980-09-01,158098.1704,509390.6094,211496.4375,853261.5821,1587192.401
1980-10-01,196412.9683,490170.9102,203867.3438,1062886.249,1831202.797
1980-11-01,207945.4521,426242.0391,192104.0938,1026967.785,1814952.223
1980-12-01,294276.8477,491542.9316,184703.8047,1146784.042,2042020.962
1981-01-01,277612.0195,443391.7773,189948.3281,1095084.47,2184159.093
1981-02-01,243765.0869,406710.1758,182330.7578,1003085.973,1938626.633
1981-03-01,206464.1108,437449.084,190453.7813,1046658.481,1824676.787
1981-04-01,189996.2427,500709.7695,200701.3047,831741.9179,1511915.859
1981-05-01,168228.0967,447449.3926,202577.125,841395.1631,1267691.401
1981-06-01,151237.7681,488354.1563,209100.7578,855856.0216,1390095.365
1981-07-01,161965.8286,597169.5,228421.8047,1267803.944,1529841.409
1981-08-01,126913.2979,577960.125,230782.6641,712089.2519,917235.8232
1981-09-01,170707.7104,487694.8359,224299.8281,823323.17,1373117.171
1981-10-01,186111.9985,482857.4141,220806.8594,890213.9933,1415812.852
1981-11-01,202465.8379,430020.9688,193117.9531,883081.5396,1446481.527
1981-12-01,252088.1709,477249.7715,192713.3906,733070.8051,1474494.902
1982-01-01,230248.498,433552.9238,194116.0286,959431.7995,1166114.748
1982-02-01,213769.2266,410839.791,195163.9896,981631.4605,1131073.285
1982-03-01,224510.7637,478667.8691,202242.7318,1046123.399,1328654.8
1982-04-01,195995.2075,517550.1992,209340.4818,887006.8977,1131564.214
1982-05-01,166154.8413,463073.6328,220316.3255,865158.5382,1230941.579
1982-06-01,155952.3511,503978.0586,224294.1458,946417.0795,1306537.963
1982-07-01,151562.2324,595668.375,231323.3646,978234.62,1399176.713
1982-08-01,131302.3799,601984.3008,225009.3646,741730.1788,824999.8763
1982-09-01,155116.8291,512642.3203,228616.1146,831130.485,1213099.146
1982-10-01,167176.9561,493816.3359,221475.5755,906869.7875,1132180.407
1982-11-01,208149.668,450274.627,199767.3568,1087580.597,1353315.704
1982-12-01,249445.8076,473747.6074,197015.5443,1029974.143,1011326.647
1983-01-01,241727.0771,432554.2871,193355.9609,1075157.726,1206916.469
1983-02-01,234523.5508,390726.75,186531.3672,1000899.666,1373787.579
1983-03-01,208428.5205,506365.8164,196839.375,1000871.934,1265045.838
1983-04-01,178731.209,454885.4492,201793.4766,885536.8678,1065939.622
1983-05-01,172295.8242,480397.5508,210004.2734,883202.9407,958965.9993
1983-06-01,153252.9722,499212.5117,208181.6016,884489.4965,895238.4785
1983-07-01,138990.0112,582114.1992,217741.3203,920530.9902,971428.3189
1983-08-01,136542.5332,617407.957,207557.1563,842545.6114,857041.376
1983-09-01,146118.9004,517135.75,214142.6563,925874.5809,878840.1195
1983-10-01,158360.437,487898.7813,208446.7891,970558.3457,1027167.1
1983-11-01,185240.1948,398769.2734,189939.8281,984666.3355,1165616.862
1983-12-01,227989.686,518077.082,190251.4141,1061055.289,1034133.913
1984-01-01,226399.3652,441163.668,187701.9089,1044426.585,974810.9578
1984-02-01,221267.1895,420741.1738,186801.487,1061369.251,952546.3955
1984-03-01,234155.7832,474896.1855,193939.6589,1099301.732,1031287.22
1984-04-01,180632.4443,492473.0625,206778.0651,872425.1103,937386.688
1984-05-01,187951.6616,478406.5313,203910.276,923821.8944,797298.528
1984-06-01,157428.6118,493121.1367,215480.2682,884715.564,763164.8595
1984-07-01,142821.3306,581159.5508,215705.0807,945249.8119,742244.8212
1984-08-01,147376.1108,622074.4727,216845.6667,875475.1108,679164.0421
1984-09-01,141249.0688,488103.2109,221311.4948,875785.828,800529.646
1984-10-01,178082.9717,515116.8047,209481.7682,1048352.153,820006.3537
1984-11-01,186842.564,449140.0977,194274.9089,1001767.621,824285.4379
1984-12-01,216852.604,486776.8086,190337.401,1078673.699,842843.2006
1985-01-01,279625.584,430046.0566,190903.8802,1190887.64,1059999.04
1985-02-01,190815.8174,408910.0996,175327.0599,945740.23,802257.3471
1985-03-01,208258.8491,471035.043,190528.7083,1082467.827,800582.8314
1985-04-01,180853.417,512827.1641,195582.7161,958611.777,725083.2465
1985-05-01,179111.2949,493006.0039,200041.138,953555.2655,713923.4996
1985-06-01,140209.106,478070.3203,197187.2708,858766.5324,613715.7314
1985-07-01,155433.1924,614761.0195,219384.3099,997944.1546,675923.5924
1985-08-01,146618.7007,632714.0586,206727.0365,859144.0932,506008.3064
1985-09-01,158276.4761,512629.8672,203701.6302,889599.0868,681565.9985
1985-10-01,192822.8413,516455.5469,194331.0833,1045474.304,711517.2329
1985-11-01,208994.3428,462090.8867,184728.3255,1117036.974,792955.7622
1985-12-01,251395.3184,514543.2969,184459.7786,1203260.796,932671.8237
1986-01-01,246060.9111,466801.9876,178047.2161,1121166.708,765787.5637
1986-02-01,228792.5137,420462.9427,172681.5755,1046857.733,731424.6595
1986-03-01,205847.5039,529816.7161,183528.1302,1047474.816,681765.9103
1986-04-01,241258.6602,517272.8021,189570.7161,1125483.093,785456.8799
1986-05-01,175543.5371,535455.0794,192116.1302,935185.5976,673092.8035
1986-06-01,154242.4941,523748.9818,210197.2943,945011.6417,700947.0419
1986-07-01,156938.1851,651982.1068,226117.6693,1028517.163,736867.4228
1986-08-01,132678.0015,663922.1849,197252.224,850457.0363,579653.5092
1986-09-01,159887.9912,572256.5599,211016.4896,954222.0276,689803.3003
1986-10-01,195811.5254,567274.6068,189011.2943,1129362.607,733873.7924
1986-11-01,203303.2441,490465.7122,175217.3021,1136178.961,739828.8501
1986-12-01,270581.4326,583938.4388,172710.3021,1262025.368,857939.7649
1987-01-01,283067.9004,487216.1582,184885.0938,1165608.194,900473.25
1987-02-01,227592.1729,466882.0293,181243.9219,1090495.253,826506.4804
1987-03-01,219098.2466,539773.1289,192746.25,1160224.931,761283.9393
1987-04-01,206495.9297,595700.3945,202828.9688,1067388.179,728588.7708
1987-05-01,168423.252,545894.5859,198342.6172,996375.5494,699533.6922
1987-06-01,173555.1074,593754.8398,207503.6641,1032474.402,734009.453
1987-07-01,168702.4736,693832.8711,217534.2734,1090884.087,788342.7392
1987-08-01,159711.3472,708192.6289,210113.4063,919669.9456,633196.5416
1987-09-01,177998.771,596389.3125,223021.8594,1001260.76,719687.2636
1987-10-01,192348.0356,590872.918,203181.9844,1137561.125,769498.7613
1987-11-01,200875.1782,538471.5977,191835.8828,1204709.595,758967.2281
1987-12-01,262027.71,599717.7227,217354.8125,1250978.346,820760.7715
1988-01-01,262269.6279,513657.916,198664.1771,1105098.283,734092.6581
1988-02-01,257266.3438,534746.0254,191958.4193,1243334.786,722369.6748
1988-03-01,257271.5342,615828.1563,204845.2396,1363852.304,862463.8684
1988-04-01,207335.2358,604672.6133,205351.638,1074522.386,712821.2671
1988-05-01,194231.2007,583147.1016,221332.9036,1072687.873,745564.7265
1988-06-01,187358.4331,619926.7617,215481.4661,1064852.902,772879.768
1988-07-01,164597.6455,724894.1484,225543.7786,1111707.812,699959.0722
1988-08-01,151487.3818,776778.418,224583.5599,1042713.939,680280.9607
1988-09-01,165859.8843,651367.5234,221658.9583,1092604.377,749647.5431
1988-10-01,171858.6348,624440.1875,215455.1771,1181245.809,814953.6153
1988-11-01,205018.3633,584955.3945,217264.8568,1313375.956,763729.0702
1988-12-01,274329.4102,633953.3203,224317.9583,1414431.637,961792.0972
1989-01-01,265028.7949,586376.8672,195729.3021,1401039.673,1045070.846
1989-02-01,233615.5449,542612.8164,192698.3021,1301966.777,1155984.522
1989-03-01,224968.0771,675030.8711,215707.2083,1319598.925,890423.0578
1989-04-01,201347.9292,606781.1328,217774.4427,1223733.502,788723.4061
1989-05-01,184736.0708,677187.4688,227264.6068,1195155.625,785218.0893
1989-06-01,166624.1416,674071.875,238483.849,1232356.144,829813.2344
1989-07-01,138146.6709,764223.8555,237480.9661,1161505.752,762463.5321
1989-08-01,141368.9688,805682.5,235923.4036,1068041.744,642694.0686
1989-09-01,153239.772,687649.2852,231927.8646,1117760.886,697019.5422
1989-10-01,175129.3887,669889.1602,228058.2474,1233721.03,733803.156
1989-11-01,201936.5381,601413.8867,212256.5599,1313621.021,894836.0841
1989-12-01,225823.4805,663568.1055,218485.5052,1222823.123,728580.8861
1990-01-01,265665.5479,610241.2461,212767.4297,1401183.832,696660.729
1990-02-01,212466.8887,585933.0078,210740.5234,1282944.069,648011.5053
1990-03-01,221798.9463,670529.1484,224471.9531,1394490.209,709269.1447
1990-04-01,216019.084,690078.1602,231633.5781,1254858.448,641693.1237
1990-05-01,190302.6006,682247.6836,237685.8047,1256922.164,691844.935
1990-06-01,159885.2329,681712.4648,231614.0938,1182053.453,675039.9186
1990-07-01,154083.5205,784158.4648,248602.4531,1251777.943,844136.0047
1990-08-01,146740.8589,833716.4258,248577.9375,1202367.513,686047.4738
1990-09-01,148250.5947,675229.6563,243188.1016,1113380.628,688548.1066
1990-10-01,196153.2153,682145.793,227345.6328,1205898.747,728293.9071
1990-11-01,221746.9219,639988.082,220657.8672,1376867.659,745741.7727
1990-12-01,288491.5801,696518.75,229094.6016,1505432.978,836629.6404
1991-01-01,292837.8252,606858.1992,208815.1302,1526588.899,824051.05
1991-02-01,259837.4951,564102.2617,193001.263,1305728.818,764142.734
1991-03-01,223774.5635,688014.8477,211395.0286,1224566.863,714338.8578
1991-04-01,235212.0889,691049.6133,223910.7943,1342853.449,742296.9608
1991-05-01,210954.1938,681817.8867,222452.7786,1247023.696,750160.5014
1991-06-01,153641.9849,673223.2617,231289.2474,1115042.232,645648.5657
1991-07-01,169810.4541,808961.2852,250262.8255,1239519.769,711398.7733
1991-08-01,150527.4727,837002.9805,242062.2552,1018703.94,624344.2776
1991-09-01,150628.1753,701699.2617,243679.7474,1049617.445,671259.1842
1991-10-01,211941.4941,705985.0078,232922.2161,1390528.703,720552.9447
1991-11-01,226945.1357,662333.6406,222381.6849,1334675.572,692379.5986
1991-12-01,278127.9854,724617.0586,237926.2474,1481882.253,749561.8482
1992-01-01,345000.0,686000.0,207000.0,1422000.0,1010000.0
1992-02-01,234000.0,604000.0,194000.0,1299000.0,1091000.0
1992-03-01,247000.0,795000.0,195000.0,1323000.0,978000.0
1992-04-01,233000.0,680000.0,299000.0,1263000.0,801000.0
1992-05-01,178000.0,801000.0,262000.0,1234000.0,905000.0
1992-06-01,205000.0,719000.0,196000.0,1102000.0,712000.0
1992-07-01,157000.0,821000.0,278000.0,1224000.0,885000.0
1992-08-01,166000.0,921000.0,268000.0,1058000.0,713000.0
1992-09-01,182000.0,749000.0,264000.0,1222000.0,874000.0
1992-10-01,230000.0,753000.0,262000.0,1199000.0,699000.0
1992-11-01,238000.0,666000.0,187000.0,1277000.0,783000.0
1992-12-01,255000.0,730000.0,179000.0,1295000.0,662000.0
1993-01-01,256000.0,649000.0,246000.0,1310000.0,754000.0
1993-02-01,245000.0,640000.0,178000.0,1396000.0,872000.0
1993-03-01,269000.0,821000.0,203000.0,1777000.0,889000.0
1993-04-01,203000.0,803000.0,198000.0,1368000.0,681000.0
1993-05-01,182000.0,670000.0,246000.0,1289000.0,774000.0
1993-06-01,164000.0,772000.0,190000.0,1226000.0,764000.0
1993-07-01,162000.0,864000.0,239000.0,1270000.0,726000.0
1993-08-01,149000.0,807000.0,273000.0,1200000.0,698000.0
1993-09-01,175000.0,733000.0,264000.0,1136000.0,833000.0
1993-10-01,249000.0,714000.0,220000.0,1430000.0,797000.0
1993-11-01,211000.0,678000.0,204000.0,1521000.0,898000.0
1993-12-01,310000.0,709000.0,200000.0,1595000.0,929000.0
1994-01-01,286000.0,685000.0,234000.0,1435000.0,865000.0
1994-02-01,263000.0,660000.0,133000.0,1547000.0,799000.0
1994-03-01,252000.0,755000.0,234000.0,1270000.0,896000.0
1994-04-01,234000.0,753000.0,232000.0,1630000.0,993000.0
1994-05-01,189000.0,737000.0,217000.0,1284000.0,882000.0
