x,fecha
1254,1956-01-01
1290,1956-02-01
1379,1956-03-01
1346,1956-04-01
1535,1956-05-01
1555,1956-06-01
1655,1956-07-01
1651,1956-08-01
1500,1956-09-01
1538,1956-10-01
1486,1956-11-01
1394,1956-12-01
1409,1957-01-01
1387,1957-02-01
1543,1957-03-01
1502,1957-04-01
1693,1957-05-01
1616,1957-06-01
1841,1957-07-01
1787,1957-08-01
1631,1957-09-01
1649,1957-10-01
1586,1957-11-01
1500,1957-12-01
1497,1958-01-01
1463,1958-02-01
1648,1958-03-01
1595,1958-04-01
1777,1958-05-01
1824,1958-06-01
1994,1958-07-01
1835,1958-08-01
1787,1958-09-01
1699,1958-10-01
1633,1958-11-01
1645,1958-12-01
1597,1959-01-01
1577,1959-02-01
1709,1959-03-01
1756,1959-04-01
1936,1959-05-01
2052,1959-06-01
2105,1959-07-01
2016,1959-08-01
1914,1959-09-01
1925,1959-10-01
1824,1959-11-01
1765,1959-12-01
1721,1960-01-01
1752,1960-02-01
1914,1960-03-01
1857,1960-04-01
2159,1960-05-01
2195,1960-06-01
2287,1960-07-01
2276,1960-08-01
2096,1960-09-01
2055,1960-10-01
2004,1960-11-01
1924,1960-12-01
1851,1961-01-01
1839,1961-02-01
2019,1961-03-01
1937,1961-04-01
2270,1961-05-01
2251,1961-06-01
2382,1961-07-01
2364,1961-08-01
2129,1961-09-01
2110,1961-10-01
2072,1961-11-01
1980,1961-12-01
1995,1962-01-01
1932,1962-02-01
2171,1962-03-01
2162,1962-04-01
2489,1962-05-01
2424,1962-06-01
2641,1962-07-01
2630,1962-08-01
2324,1962-09-01
2412,1962-10-01
2284,1962-11-01
2186,1962-12-01
2184,1963-01-01
2144,1963-02-01
2379,1963-03-01
2383,1963-04-01
2717,1963-05-01
2774,1963-06-01
3051,1963-07-01
2891,1963-08-01
2613,1963-09-01
2600,1963-10-01
2493,1963-11-01
2410,1963-12-01
2390,1964-01-01
2463,1964-02-01
2616,1964-03-01
2734,1964-04-01
2970,1964-05-01
3125,1964-06-01
3342,1964-07-01
3207,1964-08-01
2964,1964-09-01
2919,1964-10-01
2764,1964-11-01
2732,1964-12-01
2622,1965-01-01
2698,1965-02-01
2950,1965-03-01
2895,1965-04-01
3200,1965-05-01
3408,1965-06-01
3679,1965-07-01
3473,1965-08-01
3154,1965-09-01
3107,1965-10-01
3052,1965-11-01
2918,1965-12-01
2786,1966-01-01
2739,1966-02-01
3125,1966-03-01
3033,1966-04-01
3486,1966-05-01
3661,1966-06-01
3927,1966-07-01
3851,1966-08-01
3456,1966-09-01
3390,1966-10-01
3280,1966-11-01
3166,1966-12-01
3080,1967-01-01
3069,1967-02-01
3340,1967-03-01
3310,1967-04-01
3798,1967-05-01
3883,1967-06-01
4191,1967-07-01
4213,1967-08-01
3766,1967-09-01
3628,1967-10-01
3520,1967-11-01
3322,1967-12-01
3250,1968-01-01
3287,1968-02-01
3552,1968-03-01
3440,1968-04-01
4153,1968-05-01
4265,1968-06-01
4655,1968-07-01
4492,1968-08-01
4051,1968-09-01
3967,1968-10-01
3807,1968-11-01
3639,1968-12-01
3647,1969-01-01
3560,1969-02-01
3929,1969-03-01
3858,1969-04-01
4485,1969-05-01
4697,1969-06-01
4977,1969-07-01
4675,1969-08-01
4596,1969-09-01
4491,1969-10-01
4127,1969-11-01
4144,1969-12-01
4014,1970-01-01
3994,1970-02-01
4320,1970-03-01
4400,1970-04-01
5002,1970-05-01
5091,1970-06-01
5471,1970-07-01
5193,1970-08-01
4997,1970-09-01
4737,1970-10-01
4546,1970-11-01
4498,1970-12-01
4350,1971-01-01
4206,1971-02-01
4743,1971-03-01
4582,1971-04-01
5191,1971-05-01
5457,1971-06-01
5891,1971-07-01
5618,1971-08-01
5158,1971-09-01
5030,1971-10-01
4800,1971-11-01
4654,1971-12-01
4453,1972-01-01
4440,1972-02-01
4945,1972-03-01
4788,1972-04-01
5425,1972-05-01
5706,1972-06-01
6061,1972-07-01
5846,1972-08-01
5242,1972-09-01
5408,1972-10-01
5114,1972-11-01
5042,1972-12-01
5008,1973-01-01
4657,1973-02-01
5359,1973-03-01
5193,1973-04-01
5891,1973-05-01
5980,1973-06-01
6390,1973-07-01
6366,1973-08-01
5756,1973-09-01
5640,1973-10-01
5429,1973-11-01
5398,1973-12-01
5413,1974-01-01
5141,1974-02-01
5695,1974-03-01
5554,1974-04-01
6369,1974-05-01
6592,1974-06-01
7107,1974-07-01
6917,1974-08-01
6353,1974-09-01
6205,1974-10-01
5830,1974-11-01
5646,1974-12-01
5379,1975-01-01
5489,1975-02-01
5824,1975-03-01
5907,1975-04-01
6482,1975-05-01
6795,1975-06-01
7028,1975-07-01
6776,1975-08-01
6274,1975-09-01
6362,1975-10-01
5940,1975-11-01
5958,1975-12-01
5769,1976-01-01
5887,1976-02-01
6367,1976-03-01
6165,1976-04-01
6868,1976-05-01
7201,1976-06-01
7601,1976-07-01
7581,1976-08-01
7090,1976-09-01
6841,1976-10-01
6408,1976-11-01
6435,1976-12-01
6176,1977-01-01
6138,1977-02-01
6717,1977-03-01
6470,1977-04-01
7312,1977-05-01
7763,1977-06-01
8171,1977-07-01
7788,1977-08-01
7311,1977-09-01
6679,1977-10-01
6704,1977-11-01
6724,1977-12-01
6552,1978-01-01
6427,1978-02-01
7105,1978-03-01
6869,1978-04-01
7683,1978-05-01
8082,1978-06-01
8555,1978-07-01
8386,1978-08-01
7553,1978-09-01
7398,1978-10-01
7112,1978-11-01
6886,1978-12-01
7077,1979-01-01
6820,1979-02-01
7426,1979-03-01
7143,1979-04-01
8261,1979-05-01
8240,1979-06-01
8977,1979-07-01
8991,1979-08-01
8026,1979-09-01
7911,1979-10-01
7510,1979-11-01
7381,1979-12-01
7366,1980-01-01
7414,1980-02-01
7824,1980-03-01
7524,1980-04-01
8279,1980-05-01
8707,1980-06-01
9486,1980-07-01
8973,1980-08-01
8231,1980-09-01
8206,1980-10-01
7927,1980-11-01
7999,1980-12-01
7834,1981-01-01
7521,1981-02-01
8284,1981-03-01
7999,1981-04-01
8940,1981-05-01
9381,1981-06-01
10078,1981-07-01
9796,1981-08-01
8471,1981-09-01
8572,1981-10-01
8150,1981-11-01
8168,1981-12-01
8166,1982-01-01
7903,1982-02-01
8606,1982-03-01
8071,1982-04-01
9178,1982-05-01
9873,1982-06-01
10476,1982-07-01
9296,1982-08-01
8818,1982-09-01
8697,1982-10-01
8381,1982-11-01
8293,1982-12-01
7942,1983-01-01
8001,1983-02-01
8744,1983-03-01
8397,1983-04-01
9115,1983-05-01
9773,1983-06-01
10358,1983-07-01
9849,1983-08-01
9083,1983-09-01
9143,1983-10-01
8800,1983-11-01
8741,1983-12-01
8492,1984-01-01
8795,1984-02-01
9354,1984-03-01
8796,1984-04-01
10072,1984-05-01
10174,1984-06-01
11326,1984-07-01
10744,1984-08-01
9806,1984-09-01
9740,1984-10-01
9373,1984-11-01
9244,1984-12-01
9407,1985-01-01
8827,1985-02-01
9880,1985-03-01
9364,1985-04-01
10580,1985-05-01
10899,1985-06-01
11687,1985-07-01
11280,1985-08-01
10208,1985-09-01
10212,1985-10-01
9725,1985-11-01
9721,1985-12-01
9846,1986-01-01
9407,1986-02-01
10265,1986-03-01
9970,1986-04-01
10801,1986-05-01
11246,1986-06-01
12167,1986-07-01
11578,1986-08-01
10645,1986-09-01
10613,1986-10-01
10104,1986-11-01
10348,1986-12-01
10263,1987-01-01
9973,1987-02-01
10803,1987-03-01
10409,1987-04-01
11458,1987-05-01
11845,1987-06-01
12559,1987-07-01
12070,1987-08-01
11221,1987-09-01
11338,1987-10-01
10761,1987-11-01
11012,1987-12-01
10923,1988-01-01
10790,1988-02-01
11427,1988-03-01
10788,1988-04-01
11772,1988-05-01
12104,1988-06-01
12634,1988-07-01
12772,1988-08-01
11764,1988-09-01
11956,1988-10-01
11646,1988-11-01
11750,1988-12-01
11485,1989-01-01
11198,1989-02-01
12265,1989-03-01
11704,1989-04-01
12419,1989-05-01
13259,1989-06-01
13945,1989-07-01
13839,1989-08-01
12387,1989-09-01
12546,1989-10-01
12038,1989-11-01
11977,1989-12-01
12336,1990-01-01
11793,1990-02-01
12877,1990-03-01
11923,1990-04-01
13306,1990-05-01
13988,1990-06-01
14002,1990-07-01
14336,1990-08-01
12867,1990-09-01
12721,1990-10-01
12449,1990-11-01
12686,1990-12-01
12810,1991-01-01
12015,1991-02-01
12888,1991-03-01
12431,1991-04-01
13499,1991-05-01
13014,1991-06-01
14296,1991-07-01
14125,1991-08-01
12817,1991-09-01
12862,1991-10-01
12449,1991-11-01
12489,1991-12-01
12621,1992-01-01
12380,1992-02-01
13023,1992-03-01
12302,1992-04-01
13339,1992-05-01
13825,1992-06-01
14428,1992-07-01
14151,1992-08-01
13355,1992-09-01
13094,1992-10-01
12656,1992-11-01
12435,1992-12-01
13287,1993-01-01
12434,1993-02-01
13209,1993-03-01
12817,1993-04-01
13746,1993-05-01
14259,1993-06-01
14590,1993-07-01
14354,1993-08-01
13254,1993-09-01
13464,1993-10-01
13302,1993-11-01
13456,1993-12-01
13171,1994-01-01
12517,1994-02-01
13489,1994-03-01
12509,1994-04-01
13785,1994-05-01
13921,1994-06-01
14603,1994-07-01
14749,1994-08-01
13540,1994-09-01
13457,1994-10-01
13243,1994-11-01
13590,1994-12-01
13487,1995-01-01
12776,1995-02-01
13812,1995-03-01
13032,1995-04-01
14268,1995-05-01
14473,1995-06-01
15359,1995-07-01
14457,1995-08-01
